#newtry.sh#
Flask-JWT-Router
JavPy
Utter-More
asv
autogen.sh
chuda
cloudmd5.csv
cloudnetpy
cloudntpy.csv
compyle
correctmaxparams.csv
count.sh
count.sh~
countmaxinstances.sh
dynamic-conf
easypy
eppy
ext_pylib
finalgsh.csv
finalres.csv
finalresult.csv
flask-smorest
freezegun
getsha.sh
getsha.sh~
grabbit
gramhopper
gwopensci
hasparams.csv
hasparams2.csv
howmanyparams.csv
libearth
licenraptor
mgun
newtry.sh
odinweb
paramsmd5.csv
paramsmd52.csv
plcx
prmtrs.sh
pydu
pyeventdispatcher
pyswarms
pytest-subtests
python-ansel
python-dugong
python-httpproblem
python-protobix
pyvesync_v2
qer
rarfile
reframe
region_cache
req-compile
res2.csv
results.csv
resultt.csv
saga
sanic-envconfig
second.sh
second.sh~
smalldt.csv
smalldtreframe.csv
supertunnel
testnew.csv
todo-sync
tokendito
torchpwl
torchpwl.csv
tryy.sh
tryy.sh~
wkr.py
yapconf
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,JavPy/tests/test_clients/test_webserver.py::test_search_magnet_by_code,[ ABP;123 | ABP;231 ],4
Utter-More,https://github.com/crumpstrr33/Utter-More,418cf5f5ef337700bf0897e746eff8bb275e6da6,test/test_utter_more.py::test_saving_utterances,[ alexa_test;csv;None | csv_test;csv;None | file_override_test;txt;csv | txt_test;txt;None ],28
asv,https://github.com/airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,test/test_publish.py::test_publish_range_spec,[ git ],2
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_lwc.py::test_init_status,[ 0 ],2
cloudnetpy,https://github.com/tukiains/cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_lwc.py::test_update_status,[ 0 | 1 ],3
compyle,https://github.com/pypr/compyle,f557e49c7e18a49efdb5807ac650ba590db81cb2,compyle/tests/test_array.py::test_sort_by_keys,[ cython | cython ],3
compyle,https://github.com/pypr/compyle,f557e49c7e18a49efdb5807ac650ba590db81cb2,compyle/tests/test_array.py::test_sort_by_keys_with_output,[ cython ],3
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,tests/test_conf.py::test_cofig_writing,[ .env;ARG1=VAL1\nARG2=VAL2 | env.py;ARG1 | = | 'VAL1'\nARG2 | = | 'VAL2' | .env;ARG1=VAL1\nARG3=3\nARG2=VAL2 | env.py;ARG1 | = | 'VAL1'\nARG3 | = | 3\nARG2 | = | 'VAL2' | .env;ARG1=VAL1\nARG2=VAL2 | env.py;ARG1 | = | 'VAL1'\nARG2 | = | 'VAL2' ],2
ext_pylib,https://github.com/hbradleyiii/ext_pylib,15a9b5a80db87b5f20e03ef6bfa015acf4bf8543,tests/files/test_node.py::test_node_repr,[ atts0;{'path' | : | None, | 'perms' | : | None, | 'owner' | : | None, | 'group' | : | None} | atts1;{'path' | : | '/this/path/file', | 'perms' | : | None, | 'owner' | : | None, | 'group' | : | None} | atts2;{'path' | : | '/etc/path/file', | 'perms' | : | 0o655, | 'owner' | : | None, | 'group' | : | None} ],-1
flask-smorest,https://github.com/marshmallow-code/flask-smorest,02e9e84def5ace80522c76b830fbef9930a28771,tests/test_pagination.py::TestPagination::test_pagination_max_page_size,[ app_fixture0;AppConfig;1000 | app_fixture1;AppConfig;1000 | app_fixture2;AppConfig;1000 | app_fixture3;AppConfig;1000 | app_fixture4;AppConfig;1000 | app_fixture5;AppConfig;1000 | app_fixture6;AppConfig;1000 | app_fixture7;AppConfig;1000 ],-1
